data_rate_Sa,f_avg,delta1,log10_nmse
1000,27.0833,-5.0000,-3.353128
1000,21.8750,-3.3333,-3.367941
1000,32.2917,-3.0000,-3.368109
1000,16.6667,-4.6667,-1.747271
1000,34.3750,-2.6667,-3.356908
1000,38.5417,-2.6667,-3.346179
1000,37.5000,-2.6667,-3.365908
1000,29.1667,-5.6667,-3.354647
1000,27.0833,-2.6667,-3.350787
1000,36.4583,-3.3333,-3.367408
1000,34.3750,-3.6667,-3.359302
1000,8.3333,-7.0000,-1.747395
1000,34.3750,-5.3333,-3.348028
1000,30.2083,-6.3333,-3.356935
1000,31.2500,-5.6667,-3.347584
1000,5.2083,4.3333,-1.747295
1000,27.0833,0.0000,-2.895878
1000,19.7917,-5.3333,-1.747549
1000,17.7083,-1.3333,-3.348072
1000,48.9583,-2.3333,-3.355508
1000,36.4583,-4.6667,-3.356153
1000,5.2083,3.3333,-1.747271
1000,36.4583,-5.3333,-3.355361
1000,37.5000,-5.3333,-3.350229
1000,30.2083,-3.3333,-3.362795
1000,38.5417,-4.0000,-3.347627
1000,50.0000,-1.0000,-3.351095
1000,11.4583,6.6667,-1.747412
1000,35.4167,-5.6667,-3.351944
1000,47.9167,-2.0000,-3.356986
1000,40.6250,-4.3333,-3.356574
1000,45.8333,-2.3333,-3.358952
1000,39.5833,-4.0000,-3.354890
1000,41.6667,-5.0000,-3.355654
1000,36.4583,-6.0000,-3.347611
1000,4.1667,7.3333,-1.747384
1000,27.0833,-1.3333,-3.344248
1000,23.9583,-7.0000,-1.747263
1000,12.5000,-1.6667,-3.355631
1000,13.5417,-3.6667,-1.747228
1000,3.1250,-3.6667,-1.595843
1000,42.7083,-6.3333,-3.347895
1000,19.7917,-6.3333,-1.747376
1000,0.0000,5.6667,0.019661
1000,36.4583,-7.3333,-3.363475
1000,33.3333,-2.0000,-3.355381
1000,41.6667,-7.3333,-3.349691
1000,44.7917,-6.6667,-3.355269
1000,19.7917,6.6667,-1.220237
1000,42.7083,-4.3333,-3.348834
1000,47.9167,-6.3333,-3.354249
1000,22.9167,-2.0000,-3.352133
1000,6.2500,-4.0000,-1.747181
1000,1.0417,-0.6667,-2.485254
1000,44.7917,-7.6667,-3.356699
1000,45.8333,-8.0000,-3.364498
1000,7.2917,5.6667,-1.747332
1000,43.7500,-7.3333,-3.355293
1000,0.0000,0.3333,0.001073
1000,2.0833,-0.3333,-2.325554
1000,22.9167,-2.3333,-3.350946
1000,5.2083,-4.3333,-1.747295
1000,12.5000,-4.0000,-1.747189
1000,18.7500,-4.6667,-1.747271
1000,26.0417,7.6667,-0.339070
1000,6.2500,-8.0000,-1.747501
1000,13.5417,-1.6667,-3.361804
1000,30.2083,8.0000,-1.031941
1000,18.7500,-2.3333,-3.344753
1000,33.3333,-1.0000,-3.352316
1000,50.0000,-6.0000,-3.358311
1000,1.0417,-4.3333,-1.615535
1000,33.3333,-1.3333,-3.356974
1000,6.2500,1.0000,-1.213059
1000,32.2917,-5.0000,-3.347541
1000,10.4167,-3.0000,-1.747233
1000,16.6667,5.0000,-1.395935
1000,23.9583,-5.3333,-3.358878
1000,19.7917,-4.0000,-3.361097
1000,32.2917,-0.3333,-3.370436
1000,21.8750,-4.0000,-3.347466
1000,15.6250,-6.6667,-1.747294
1000,40.6250,-5.6667,-3.359100
1000,0.0000,-0.3333,0.044538
1000,22.9167,-7.3333,-1.747244
1000,6.2500,-1.6667,-1.994479
1000,26.0417,-0.6667,-3.364104
1000,4.1667,-6.6667,-1.747365
1000,14.5833,4.3333,-1.667808
1000,43.7500,-1.0000,-3.349109
1000,30.2083,-2.6667,-3.347859
1000,47.9167,-7.3333,-3.359174
1000,3.1250,5.6667,-1.747314
1000,11.4583,-0.3333,-3.360599
1000,3.1250,0.3333,-1.960842
1000,7.2917,-6.0000,-1.747321
1000,21.8750,7.3333,-1.184146
1000,14.5833,6.3333,-1.747497
1000,44.7917,-0.6667,-3.358431
1000,15.6250,6.3333,-1.747417
1000,32.2917,-4.0000,-3.345724
1000,40.6250,-3.3333,-3.363153
1000,36.4583,-4.3333,-3.353846
1000,21.8750,6.6667,0.232704
1000,12.5000,-0.3333,-3.339013
1000,27.0833,-3.3333,-3.361250
1000,10.4167,-0.6667,-3.358090
1000,42.7083,-4.6667,-3.360770
1000,1.0417,2.0000,-1.365584
1000,6.2500,6.0000,-1.747200
1000,8.3333,6.6667,-1.747459
1000,40.6250,-7.6667,-3.367700
1000,44.7917,-7.3333,-3.354908
1000,6.2500,-4.6667,-1.747256
1000,45.8333,-5.0000,-3.367224
1000,9.3750,6.0000,-1.747274
1000,7.2917,0.6667,-0.683612
1000,8.3333,-2.3333,-1.747275
1000,48.9583,-3.6667,-3.355353
1000,50.0000,-2.6667,-3.342508
1000,32.2917,-1.6667,-3.351627
1000,17.7083,-7.0000,-1.747255
1000,13.5417,8.0000,-1.747344
1000,26.0417,-3.0000,-3.340807
1000,10.4167,4.0000,-1.747186
1000,18.7500,-3.3333,-3.364255
1000,9.3750,7.3333,-1.747495
1000,0.0000,2.0000,0.012432
1000,27.0833,-3.0000,-3.352688
1000,7.2917,-0.6667,-2.001841
1000,17.7083,3.6667,-1.028156
1000,43.7500,-2.6667,-3.355022
1000,2.0833,-7.6667,-1.747381
1000,1.0417,-3.3333,-1.297369
1000,27.0833,-7.3333,-1.747330
1000,12.5000,7.0000,-1.747296
1000,16.6667,5.3333,-1.304319
1000,10.4167,-7.3333,-1.747395
1000,19.7917,5.3333,-1.231815
1000,10.4167,0.3333,-0.654581
1000,0.0000,1.3333,-0.000188
1000,41.6667,-2.3333,-3.339007
1000,2.0833,-4.3333,-1.747322
1000,20.8333,0.0000,-3.289749
1000,12.5000,-1.3333,-3.340553
1000,10.4167,6.3333,-1.747641
1000,12.5000,-3.6667,-1.747228
1000,18.7500,-7.6667,-1.747321
1000,47.9167,-1.3333,-3.349649
1000,50.0000,-7.3333,-3.361391
1000,12.5000,-7.3333,-1.747278
1000,15.6250,0.3333,-0.647830
1000,48.9583,-3.3333,-3.368543
1000,8.3333,-5.6667,-1.747431
1000,4.1667,2.3333,-1.747275
1000,20.8333,6.0000,-1.275891
1000,7.2917,-4.0000,-1.747176
1000,7.2917,3.0000,-1.747237
1000,39.5833,-5.6667,-3.362708
1000,22.9167,8.0000,-1.677858
1000,14.5833,3.3333,-0.465664
1000,47.9167,-6.0000,-3.352718
1000,21.8750,0.0000,-2.346582
1000,45.8333,-5.6667,-3.354792
1000,12.5000,-5.0000,-1.747223
1000,13.5417,0.6667,-0.619136
1000,9.3750,0.0000,-3.153452
1000,27.0833,7.0000,-1.482651
1000,20.8333,4.6667,-1.619943
1000,1.0417,3.0000,-1.747251
1000,3.1250,3.0000,-1.747271
1000,27.0833,-1.6667,-3.352072
1000,15.6250,1.0000,-0.286884
1000,29.1667,7.3333,-1.572616
1000,12.5000,-4.3333,-1.747315
1000,15.6250,1.3333,-0.126067
1000,27.0833,-1.0000,-3.347477
1000,30.2083,-6.0000,-3.357052
1000,21.8750,6.0000,-1.460236
1000,37.5000,-3.3333,-3.365957
1000,9.3750,-2.0000,-1.208197
1000,41.6667,-7.6667,-3.354033
1000,37.5000,-7.3333,-3.366846
1000,2.0833,5.0000,-1.747424
1000,46.8750,-0.6667,-3.365115
1000,43.7500,-5.0000,-3.364886
1000,19.7917,4.0000,-1.350334
1000,42.7083,-4.0000,-3.342846
1000,27.0833,-5.3333,-3.351601
1000,38.5417,-7.6667,-3.356167
1000,48.9583,-4.0000,-3.338697
1000,50.0000,-2.0000,-3.366233
1000,39.5833,-6.0000,-3.347685
1000,15.6250,1.6667,-0.517404
1000,29.1667,-7.3333,-1.747328
1000,11.4583,2.0000,-0.219370
1000,22.9167,7.3333,-0.953689
1000,16.6667,1.6667,0.138521
1000,15.6250,7.0000,-1.747418
1000,31.2500,-0.6667,-3.358343
1000,28.1250,7.0000,-1.416787
1000,5.2083,-2.6667,-1.732177
1000,15.6250,2.3333,-0.594098
1000,23.9583,-1.6667,-3.355624
1000,2.0833,0.3333,-2.274489
1000,20.8333,-6.3333,-1.747362
1000,0.0000,6.3333,0.002248
1000,3.1250,3.3333,-1.747276
1000,29.1667,0.0000,-3.279280
1000,21.8750,-2.3333,-3.336314
1000,46.8750,-5.3333,-3.363394
1000,3.1250,2.0000,-1.177751
1000,14.5833,4.6667,-1.519697
1000,21.8750,3.0000,-0.619841
1000,3.1250,2.6667,-1.747325
1000,21.8750,6.3333,-1.221103
1000,32.2917,-3.6667,-3.342616
1000,9.3750,1.6667,-0.462570
1000,17.7083,6.6667,-1.372196
1000,12.5000,2.3333,-0.812181
1000,0.0000,7.0000,0.004598
1000,1.0417,-1.3333,-1.112421
1000,1.0417,8.0000,-1.747441
1000,22.9167,3.0000,-0.308129
1000,19.7917,-0.3333,-3.350034
1000,3.1250,-1.0000,-2.342380
1000,16.6667,-7.6667,-1.747343
1000,21.8750,2.0000,-0.574713
1000,10.4167,-7.6667,-1.747221
1000,7.2917,-6.3333,-1.747360
1000,20.8333,1.0000,-0.330730
1000,33.3333,-4.6667,-3.352341
1000,20.8333,3.3333,-1.044084
1000,20.8333,-7.6667,-1.747352
1000,23.9583,-5.6667,-1.747317
1000,4.1667,7.6667,-1.747300
1000,30.2083,-4.0000,-3.351892
1000,28.1250,-8.0000,-1.747469
1000,34.3750,-4.0000,-3.360929
1000,21.8750,7.0000,-0.143136
1000,32.2917,0.3333,-0.793211
1000,33.3333,8.0000,-0.412168
1000,9.3750,6.6667,-1.747448
1000,44.7917,-5.3333,-3.356217
1000,18.7500,4.3333,-1.869228
1000,19.7917,2.3333,-0.563376
1000,45.8333,-1.0000,-3.348883
1000,41.6667,-2.0000,-3.352849
1000,26.0417,4.3333,-1.594632
1000,1.0417,-7.6667,-1.747371
1000,35.4167,0.3333,-0.783378
1000,31.2500,0.6667,-0.778194
1000,29.1667,-3.6667,-3.335690
1000,33.3333,-0.6667,-3.354459
1000,27.0833,1.3333,-0.508445
1000,28.1250,3.0000,-0.559333
1000,21.8750,-7.0000,-1.747200
1000,10.4167,0.0000,-3.343816
1000,9.3750,3.0000,-1.747233
1000,42.7083,-3.0000,-3.355146
1000,28.1250,4.0000,-1.136765
1000,0.0000,-3.6667,0.032950
1000,28.1250,5.0000,-1.292493
1000,39.5833,0.3333,-0.893727
1000,4.1667,4.6667,-1.747281
1000,22.9167,0.6667,-0.537609
1000,27.0833,6.0000,-1.441169
1000,32.2917,-4.6667,-3.361116
1000,36.4583,-5.0000,-3.357937
1000,28.1250,2.0000,-0.708004
1000,28.1250,4.6667,-1.177819
1000,50.0000,-5.0000,-3.362496
1000,37.5000,-6.0000,-3.349929
1000,7.2917,-7.0000,-1.747430
1000,7.2917,-5.3333,-1.747498
1000,22.9167,-4.0000,-3.361416
1000,10.4167,-4.6667,-1.747259
1000,40.6250,7.6667,-1.788377
1000,48.9583,-6.3333,-3.365690
1000,13.5417,-2.6667,-3.332460
1000,46.8750,8.0000,-2.111039
1000,30.2083,0.3333,-0.779000
1000,3.1250,-2.6667,-1.791710
1000,48.9583,-2.0000,-3.360355
1000,12.5000,6.6667,-1.747258
1000,8.3333,-3.6667,-1.747231
1000,21.8750,3.6667,-1.014042
1000,32.2917,2.0000,-0.593341
1000,0.0000,-2.0000,-0.000310
1000,20.8333,0.3333,-0.080484
1000,6.2500,-1.0000,-2.017645
1000,21.8750,-7.3333,-1.747248
1000,16.6667,3.3333,-1.196398
1000,31.2500,5.0000,-0.216292
1000,38.5417,0.6667,-0.847539
1000,42.7083,-1.0000,-3.345063
1000,35.4167,-3.3333,-3.360156
1000,32.2917,2.3333,-0.545399
1000,2.0833,-3.3333,-1.501773
1000,25.0000,-1.0000,-3.363805
1000,39.5833,-8.0000,-3.353013
1000,44.7917,-6.0000,-3.361150
1000,22.9167,2.6667,-0.795714
1000,2.0833,-6.3333,-1.747287
1000,41.6667,0.6667,-0.872724
1000,3.1250,7.6667,-1.747714
1000,22.9167,1.6667,-0.350359
1000,6.2500,-4.3333,-1.747334
1000,6.2500,-1.3333,0.308988
1000,20.8333,3.6667,-0.995699
1000,48.9583,-7.0000,-3.354376
1000,50.0000,-3.0000,-3.356435
1000,33.3333,4.0000,-1.141194
1000,27.0833,7.6667,0.007743
1000,1.0417,-1.0000,-2.610722
1000,20.8333,6.3333,-0.920745
1000,5.2083,-0.3333,-1.692005
1000,25.0000,3.6667,-0.764146
1000,37.5000,1.6667,-0.748932
1000,39.5833,7.3333,-1.757325
1000,8.3333,4.3333,-1.747277
1000,10.4167,-5.6667,-1.747492
1000,12.5000,-2.0000,-3.344233
1000,19.7917,3.0000,-0.828426
1000,38.5417,-6.6667,-3.357876
1000,31.2500,4.0000,-1.032064
1000,36.4583,4.6667,-1.721640
1000,16.6667,-4.0000,-3.343107
1000,8.3333,0.3333,-0.766393
1000,3.1250,-4.0000,-1.745521
1000,36.4583,3.6667,-0.753744
1000,31.2500,6.0000,-1.410881
1000,1.0417,1.0000,-2.443145
1000,34.3750,3.6667,-0.735303
1000,42.7083,1.0000,-0.856600
1000,46.8750,0.6667,-0.916781
1000,3.1250,-4.3333,-1.747267
1000,28.1250,6.6667,-0.589546
1000,18.7500,4.6667,-1.562884
1000,39.5833,-2.3333,-3.350434
1000,27.0833,-7.6667,-1.747348
1000,41.6667,-4.0000,-3.341714
1000,11.4583,-5.0000,-1.747222
1000,28.1250,4.3333,-1.234100
1000,20.8333,-5.3333,-1.747541
1000,40.6250,-2.3333,-3.363831
1000,38.5417,0.3333,-0.779116
1000,30.2083,1.6667,-0.658509
1000,5.2083,-7.6667,-1.747374
1000,31.2500,2.6667,-0.677695
1000,30.2083,-7.3333,-1.747327
1000,47.9167,1.0000,-0.950717
1000,2.0833,3.6667,-1.747259
1000,42.7083,2.6667,-0.801748
1000,10.4167,-2.3333,-0.584804
1000,44.7917,1.0000,-0.859875
1000,32.2917,5.0000,-0.289799
1000,46.8750,1.3333,-0.929178
1000,29.1667,2.3333,-0.587836
1000,9.3750,-4.3333,-1.747325
1000,4.1667,-2.6667,-1.757921
1000,40.6250,3.6667,-0.861820
1000,31.2500,7.0000,-1.419866
1000,9.3750,8.0000,-1.747351
1000,20.8333,-3.3333,-3.351513
1000,45.8333,-4.6667,-3.358894
1000,37.5000,-1.0000,-3.354194
1000,0.0000,6.0000,0.002591
1000,39.5833,4.3333,-2.020478
1000,23.9583,-4.0000,-3.359114
1000,39.5833,-5.0000,-3.363765
1000,43.7500,0.6667,-0.895923
1000,35.4167,5.6667,-0.058078
1000,10.4167,2.6667,-1.392140
1000,41.6667,8.0000,-1.018625
1000,33.3333,2.0000,-0.603104
1000,17.7083,2.0000,-0.415501
1000,30.2083,3.0000,-0.338066
1000,16.6667,-8.0000,-1.747432
1000,6.2500,-5.0000,-1.747193
1000,40.6250,0.0000,-1.608512
1000,43.7500,4.3333,-2.126175
1000,21.8750,4.0000,-1.468497
1000,5.2083,-1.3333,-1.978115
1000,25.0000,1.6667,-0.547995
1000,36.4583,1.3333,-0.807733
1000,26.0417,-3.3333,-3.339017
1000,46.8750,2.6667,-0.858745
1000,15.6250,-8.0000,-1.747361
1000,23.9583,-6.3333,-1.747325
1000,33.3333,6.3333,-1.109079
1000,43.7500,-8.0000,-3.350927
1000,0.0000,7.3333,0.003446
1000,26.0417,5.3333,-1.531248
1000,20.8333,-0.3333,-3.346950
1000,47.9167,-0.6667,-3.366467
1000,5.2083,1.6667,-1.747289
1000,25.0000,8.0000,-1.496496
1000,41.6667,7.6667,-1.822827
1000,46.8750,-5.0000,-3.342809
1000,9.3750,4.3333,-1.747325
1000,28.1250,-6.6667,-1.747235
1000,14.5833,1.0000,-0.531636
1000,20.8333,5.0000,-1.743327
1000,18.7500,6.0000,-0.520949
1000,31.2500,3.6667,-0.674151
1000,13.5417,1.0000,-0.092762
1000,30.2083,1.3333,-0.606364
1000,18.7500,-5.0000,-1.747224
1000,33.3333,6.6667,-0.936835
1000,20.8333,0.6667,-0.154343
1000,4.1667,1.0000,-1.783790
1000,42.7083,-5.3333,-3.357003
1000,46.8750,-2.6667,-3.361423
1000,2.0833,-4.0000,-1.671117
1000,31.2500,1.6667,-0.362081
1000,26.0417,0.6667,-0.444716
1000,15.6250,2.0000,-0.533369
1000,35.4167,0.6667,-0.827124
1000,26.0417,-2.6667,-3.355754
1000,0.0000,8.0000,0.007344
1000,5.2083,0.3333,-1.182515
1000,34.3750,-2.3333,-3.361685
1000,36.4583,6.0000,-0.976560
1000,20.8333,-5.0000,-3.362306
1000,43.7500,1.6667,-0.869648
1000,36.4583,-1.3333,-3.349416
1000,27.0833,-6.6667,-1.747239
1000,42.7083,-2.3333,-3.337059
1000,9.3750,-3.0000,-1.747233
1000,18.7500,7.0000,-1.603890
1000,43.7500,7.0000,-1.366533
1000,9.3750,-7.6667,-1.747388
1000,1.0417,-7.0000,-1.747401
1000,35.4167,2.6667,-0.744437
1000,19.7917,7.6667,-1.764486
1000,17.7083,-4.3333,-3.371429
1000,21.8750,-5.6667,-1.747345
1000,36.4583,-5.6667,-3.361185
1000,30.2083,-4.6667,-3.354092
1000,42.7083,-5.0000,-3.355116
1000,11.4583,5.3333,-1.747445
1000,41.6667,-4.3333,-3.359221
1000,18.7500,-6.0000,-1.747279
1000,19.7917,-5.0000,-1.747223
1000,21.8750,-8.0000,-1.747365
1000,29.1667,-1.0000,-3.356647
1000,37.5000,3.3333,-0.859894
1000,45.8333,5.3333,-1.826104
1000,8.3333,3.3333,-1.747271
1000,47.9167,4.0000,-1.203155
1000,15.6250,-1.6667,-3.344341
1000,5.2083,-5.3333,-1.747457
1000,12.5000,-3.0000,-1.747197
1000,42.7083,8.0000,-1.918830
1000,43.7500,0.0000,-1.857657
1000,33.3333,3.6667,-0.366496
1000,17.7083,8.0000,-1.319398
1000,41.6667,3.3333,-0.888685
1000,32.2917,4.3333,-0.800956
1000,45.8333,-3.6667,-3.351843
1000,23.9583,-3.0000,-3.357651
1000,17.7083,-3.0000,-3.351612
1000,19.7917,-8.0000,-1.747291
1000,15.6250,-3.6667,-3.370601
1000,38.5417,-5.3333,-3.353321
1000,38.5417,6.0000,-0.036541
1000,27.0833,-8.0000,-1.747487
1000,13.5417,4.6667,-0.683523
1000,1.0417,4.6667,-1.747284
1000,25.0000,3.0000,-0.533416
1000,3.1250,4.0000,-1.747157
1000,10.4167,5.0000,-1.747220
1000,2.0833,-1.3333,-1.985427
1000,33.3333,-7.3333,-3.354845
1000,3.1250,-6.3333,-1.747303
1000,23.9583,2.6667,-0.738362
1000,13.5417,5.6667,-1.747406
1000,40.6250,-0.3333,-3.364173
1000,30.2083,-5.0000,-3.353864
1000,13.5417,5.3333,-1.747488
1000,7.2917,1.6667,-1.615282
1000,33.3333,3.3333,-0.802638
1000,5.2083,-1.0000,-1.636183
1000,17.7083,-0.3333,-3.358856
1000,35.4167,4.0000,-1.257625
1000,9.3750,2.3333,-0.929174
1000,3.1250,-5.0000,-1.747276
1000,25.0000,6.6667,-0.671988
1000,32.2917,5.6667,-1.223740
1000,5.2083,5.0000,-1.747241
1000,44.7917,-8.0000,-3.354277
1000,4.1667,6.6667,-1.747365
1000,39.5833,6.3333,-1.261716
1000,12.5000,-2.3333,-2.983042
1000,14.5833,-2.6667,-3.362250
1000,34.3750,-1.3333,-3.350763
1000,48.9583,-1.6667,-3.361279
1000,42.7083,-6.6667,-3.340134
1000,9.3750,0.6667,-0.820085
1000,43.7500,6.0000,-1.756631
1000,46.8750,-6.3333,-3.339505
1000,17.7083,3.0000,-0.967157
1000,12.5000,2.6667,-1.456480
1000,16.6667,0.3333,-0.502915
1000,30.2083,-0.3333,-3.349505
1000,44.7917,6.0000,-1.857485
1000,32.2917,-8.0000,-1.747456
1000,15.6250,-4.6667,-1.747265
1000,27.0833,-7.0000,-1.747363
1000,44.7917,-4.0000,-3.356662
1000,14.5833,-0.3333,-3.366638
1000,38.5417,4.3333,-1.914348
1000,42.7083,3.3333,-0.917279
1000,34.3750,-0.6667,-3.357842
1000,47.9167,4.3333,-2.152268
1000,2.0833,-3.0000,-1.140149
1000,4.1667,-3.3333,-1.762944
1000,12.5000,8.0000,-1.747388
1000,50.0000,1.6667,-0.868225
1000,12.5000,3.6667,-0.772312
1000,7.2917,-4.3333,-1.747318
1000,42.7083,-3.3333,-3.351270
1000,34.3750,-6.6667,-3.370106
1000,43.7500,3.6667,-0.953529
1000,18.7500,2.0000,-0.273303
1000,50.0000,7.0000,-1.560177
1000,50.0000,4.0000,-1.248398
1000,46.8750,1.6667,-0.816677
1000,21.8750,-0.3333,-3.348632
1000,35.4167,3.3333,-0.804131
1000,13.5417,-7.3333,-1.747297
1000,33.3333,-4.3333,-3.347183
1000,14.5833,3.0000,-0.130387
1000,38.5417,-1.6667,-3.361148
1000,14.5833,4.0000,-1.229874
1000,17.7083,2.6667,-0.844174
1000,48.9583,7.6667,-1.998581
1000,3.1250,1.3333,-1.952192
1000,19.7917,1.3333,-0.343668
1000,10.4167,7.6667,-1.747221
1000,36.4583,-1.0000,-3.343752
1000,12.5000,7.3333,-1.747278
1000,25.0000,-1.6667,-3.344676
1000,11.4583,-7.0000,-1.747292
1000,38.5417,6.3333,-1.109743
1000,36.4583,-6.3333,-3.355477
1000,32.2917,1.0000,-0.653229
1000,1.0417,1.6667,-0.871048
1000,40.6250,8.0000,-0.925749
1000,15.6250,0.0000,-3.342231
1000,2.0833,6.3333,-1.747287
1000,40.6250,0.6667,-0.906835
1000,46.8750,6.6667,-1.048286
1000,5.2083,7.0000,-1.747468
1000,33.3333,-5.0000,-3.364091
1000,31.2500,1.0000,-0.696361
1000,19.7917,-3.0000,-3.359960
1000,33.3333,3.0000,-0.567404
1000,47.9167,1.3333,-0.897593
1000,14.5833,0.0000,-3.372661
1000,48.9583,-1.0000,-3.364462
1000,0.0000,-3.0000,0.014184
1000,30.2083,0.6667,-0.722346
1000,2.0833,7.6667,-1.747381
1000,21.8750,4.6667,-1.632720
1000,39.5833,-7.0000,-3.348838
1000,14.5833,-6.3333,-1.747497
1000,33.3333,-6.0000,-3.355249
1000,16.6667,7.0000,-1.366936
1000,10.4167,-4.3333,-1.747330
1000,46.8750,-7.0000,-3.347475
1000,11.4583,-5.3333,-1.747445
1000,44.7917,-1.3333,-3.350187
1000,13.5417,7.3333,-1.747297
1000,6.2500,1.3333,-1.504804
1000,37.5000,-2.3333,-3.368847
1000,19.7917,-2.0000,-3.349613
1000,16.6667,-5.3333,-1.747533
1000,40.6250,1.0000,-0.814656
1000,42.7083,0.0000,-2.593554
1000,47.9167,-3.0000,-3.357805
1000,50.0000,-4.3333,-3.346251
1000,36.4583,6.3333,-1.109552
1000,11.4583,6.0000,-1.747293
1000,19.7917,3.6667,-1.027110
1000,32.2917,6.3333,-1.458304
1000,40.6250,-1.3333,-3.355242
1000,50.0000,7.3333,-1.799909
1000,0.0000,-4.3333,0.002142
1000,44.7917,-1.0000,-3.357468
1000,14.5833,5.0000,-1.110996
1000,38.5417,-6.3333,-3.335652
1000,48.9583,4.0000,-1.242168
1000,39.5833,-2.6667,-3.350492
1000,34.3750,-8.0000,-1.747502
1000,2.0833,3.3333,-1.747267
1000,43.7500,2.3333,-0.888068
1000,33.3333,-3.3333,-3.355877
1000,27.0833,-2.0000,-3.355413
1000,9.3750,7.6667,-1.747388
1000,21.8750,-2.0000,-3.340428
1000,11.4583,-6.3333,-1.747606
1000,30.2083,-2.0000,-3.364465
1000,27.0833,-2.3333,-3.332827
1000,1.0417,3.3333,-1.747241
1000,43.7500,-3.3333,-3.360646
1000,50.0000,3.0000,-0.877827
